# faithfulness table for CloseCircuit
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
requireAggregateWidth73	close_circuit.rs:476-479	public-inputs	ok	the consumed aggregate statement is pinned to 73 limbs
standardRecursionZkConfig	close_circuit.rs:480-481	config	ok	the built circuit carries standard_recursion_zk_config
checkedPublicField channelId	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField closeNonce	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField finalEpoch	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField finalSmallBlock	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField freezeNonce	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField stateDigest	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField h1	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField genesisFund	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField fundRoot	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField burnHash	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField withdrawalDigest	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField closeId	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField snapshot	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField stateVersion	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField settledChain	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField accumulatorRoot	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField memberSet	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField memberCount	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField delegateCount	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPublicField tokenFundsDigest	close_circuit.rs:142-171	range	ok	every allocated limb carries range_check(limb, 32)
checkedPrivateField stateFreezeNonce	close_circuit.rs:483-487	range	ok	every allocated limb carries range_check(limb, 32)
checkedPrivateField sharedNullifierRoot	close_circuit.rs:483-487	range	ok	every allocated limb carries range_check(limb, 32)
checkedPrivateField unallocatedIncoming	close_circuit.rs:483-487	range	ok	every allocated limb carries range_check(limb, 32)
checkedPrivateField previousDigest	close_circuit.rs:483-487	range	ok	every allocated limb carries range_check(limb, 32)
checkedPrivateField h2	close_circuit.rs:483-487	range	ok	every allocated limb carries range_check(limb, 32)
rawSlotRoot4	close_circuit.rs:490	range	ok	PoseidonHashOutTarget::new allocates 4 RAW elements with no range check
checkedTokenCount	close_circuit.rs:496-504	range	ok	range_check(token_count, 32)
checkedRegistry[0..10)	close_circuit.rs:496-504	range	ok	range_check(registry[t], 32) for every slot
checkedFundU256[0..10)	close_circuit.rs:496-504	range	ok	U256Target::new(_, true): 8 range-checked limbs per token slot
safeMemberBoolean[0..8)	close_circuit.rs:519-521	arith	not-static	add_virtual_bool_target_safe is mul_sub(b,b,b) connected to zero on an internal wire
memberMonotone[0..7)	close_circuit.rs:526-531	arith	not-static	connect(mul(bit[i+1], sub(one, bit[i])), zero) on internal wires
safeTokenBoolean[0..10)	close_circuit.rs:571-573	arith	not-static	add_virtual_bool_target_safe is mul_sub(b,b,b) connected to zero on an internal wire
tokenMonotone[0..9)	close_circuit.rs:575-578	arith	not-static	connect(mul(bit[t+1], sub(one, bit[t])), zero) on internal wires
noDuplicateActiveToken[45 pairs]	close_circuit.rs:594-599	arith	not-static	connect(and(is_equal(reg[i], reg[j]), token_active[j]), zero) on internal wires
connectMemberSum	close_circuit.rs:533-537	connect	ok	the MAX_SIG_CLUSTER-bit add chain is connected to the member_count PI limb
connectTokenSum	close_circuit.rs:579-583	connect	ok	the MAX_CHANNEL_TOKENS-bit add chain is connected to the token_count witness limb
requireMemberFlag 0	close_circuit.rs:547	constant	ok	assert_one(active_bits[0]): member_count >= 1
requireMemberFlag 1	close_circuit.rs:559	constant	ok	assert_one(active_bits[1]): member_count >= 2 (M-6)
requireTokenFlag0	close_circuit.rs:584	constant	ok	assert_one(token_active_bits[0]): token_count >= 1 (TM-8)
connectGenesisAmount	close_circuit.rs:606	connect	ok	amounts[0].connect(channel_fund_amount): 8 limbs share a representative
