# faithfulness table for FalconGadgetProgram
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
twiddleTables	gadget.rs:655	no-gate	trivial	build-time table assertions only; Lean holds = True
allocPkG	gadget.rs:659	range	ok	Bytes32Target::new(_, true): 8 limbs, range_check(limb, 32) each
allocMessageDigest	gadget.rs:660	range	ok	Bytes32Target::new(_, true): 8 limbs, range_check(limb, 32) each
witnessSalt	gadget.rs:663	width	ok	[Target; 8] fixes the salt vector length
witnessH	gadget.rs:664	width	ok	(0..N).map(add_virtual_target) fixes |h| = 512
witnessS2	gadget.rs:665	width	ok	(0..N).map(add_virtual_target) fixes |s2| = 512
canonicalCoeffs	gadget.rs:670-672	range	ok	assert_canonical_coeff: range_check(v, 14) on every h and s2 coefficient
canonicalCoeffs	gadget.rs:290-298	arith	mutation	complement (q-1-v) 14-bit check: faithfulness_falcon_gadget_mutation_canonical_coeffs_*
pkDigest	gadget.rs:675	gadget	not-static	Poseidon sponge semantics (Environment.falconPkDigest), not a copy constraint
connectPkG	gadget.rs:676	connect	ok	pk_g.connect(builder, pk_computed): all 8 limbs share a representative
hashToPoint	gadget.rs:679 / :360-362	range	ok	h2p_circuit range_checks every salt element to 40 bits and returns 512 coefficients
hashToPoint	gadget.rs:679	gadget	mutation	c = H2P(salt, digest) sponge semantics: faithfulness_falcon_gadget_mutation_hash_to_point
nttFwdH	gadget.rs:684	width	ok	ntt_forward returns 512 wires
nttFwdS2	gadget.rs:685	width	ok	ntt_forward returns 512 wires
nttFwdH	gadget.rs:434-472	arith	not-static	4608 reduce_mod_q butterflies with 14-bit quotients: arithmetic, not copy constraints
nttFwdS2	gadget.rs:434-472	arith	not-static	4608 reduce_mod_q butterflies with 14-bit quotients: arithmetic, not copy constraints
pointwiseMul	gadget.rs:686	width	ok	pointwise_mul returns 512 wires
nttInv	gadget.rs:687	width	ok	ntt_inverse returns 512 wires
s1Reduce	gadget.rs:689-698	width	ok	the s1 = reduce_mod_q(c + q - prod, 1) loop returns 512 wires
s1Reduce	gadget.rs:689-698	arith	mutation	1-bit quotient pin: covered by mod_q_quotient_cheating_rejected in this file
centeredSquaresS1	gadget.rs:702-706	arith	mutation	centering bit is an internal witness: centering_bit_lie_can_only_inflate_the_norm
centeredSquaresS2	gadget.rs:702-706	arith	mutation	centering bit is an internal witness: centering_bit_lie_can_only_inflate_the_norm
normSum	gadget.rs:707	arith	not-static	add_many(&squares) is an arithmetic chain, not a copy constraint
betaConstant	gadget.rs:716-718	constant	ok	builder.constant(FALCON_SIG_L2_BOUND) is wired to that ConstantGate value
slackSub	gadget.rs:719	arith	not-static	builder.sub(beta_sq, norm) is an arithmetic gate output
selectVerify	gadget.rs:720-726	connect	ok	unconditional gadget: checked_slack IS slack (no select wire allocated)
slackRange	gadget.rs:727	range	ok	range_check(checked_slack, 26)
buildTarget	gadget.rs:729-735	no-gate	trivial	struct literal emits no constraint; Lean holds = True
harnessRegisterPublicInputs	gadget.rs:897-901	public-inputs	ok	FalconSigCircuit::new registers pk_g(8) then message_digest(8), in that order
