# faithfulness table for PostCloseClaimCircuit
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
build standard_recursion_zk_config	post_close_claim_circuit.rs:308	config	ok	the built circuit carries standard_recursion_zk_config
range closeIntent	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range receiverChannelId	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range incomingTxHash	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range receiverPkG	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range recipient	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range nullifier	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range amount.hi,lo	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range finalH1	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range finalAccumulator	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range tokenIndex	post_close_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
range sourcePk,senderDigest,receiverDigest,txRoot	post_close_claim_circuit.rs:323-326	range	ok	four Bytes32Target::new(_, true) => 32 range-checked limbs
range sourceChannel	post_close_claim_circuit.rs:327	range	ok	range_check(source_channel_id, 32)
hash senderWing	post_close_claim_circuit.rs:330-337	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash receiverWing	post_close_claim_circuit.rs:338-346	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash txLeaf	post_close_claim_circuit.rs:347-349	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash push(txRoot,leaf)	post_close_claim_circuit.rs:387	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash push(ids,mixed)	post_close_claim_circuit.rs:401	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash IMB2	post_close_claim_circuit.rs:410-421	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash IMRP	post_close_claim_circuit.rs:460	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash IMS2	post_close_claim_circuit.rs:461-467	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash IMRC	post_close_claim_circuit.rs:482	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
hash IMCK	post_close_claim_circuit.rs:505-509	gadget	not-static	the hash relation is an Environment callback; only its preimage width is fixed
ids layout (TM-16)	post_close_claim_circuit.rs:396-400	connect	ok	ids = [0,0,0,0,0, token_index PI, receiver_channel_id PI, source_channel_id]
connect incomingTxHash	post_close_claim_circuit.rs:365	connect	ok	recomputed_tx_hash.connect(incoming_tx_hash)
virtual incomingTxIndex	post_close_claim_circuit.rs:369	range	ok	a bare add_virtual_target whose only bound is the inclusion verify's split_le
merkle incoming	post_close_claim_circuit.rs:368-386	width	ok	IncrementalMerkleProofTarget::new(builder, SETTLED_TX_ACCUMULATOR_HEIGHT)
merkle incoming	merkle_tree.rs:228-248	gadget	not-static	the canonical-root round-trip connect and the fold live inside the gadget
range memberCount,delegateCount,tokenCount + registry	post_close_claim_circuit.rs:389-395	range	ok	13 range-checked u32 header limbs
virtual slotRoot	post_close_claim_circuit.rs:397	range	ok	PoseidonHashOutTarget::new allocates 4 RAW elements with no range check
