# faithfulness table for WithdrawalClaimCircuit
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
zeroKnowledgeConfig	withdrawal_claim_circuit.rs:307-308	config	ok	the built circuit carries standard_recursion_zk_config
allocateCheckedPublic 0	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 1	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 2	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 3	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 4	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 5	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 6	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 7	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 8	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedPublic 9	withdrawal_claim_circuit.rs:113-131	range	ok	range_check(limb, 32) on every limb of the group
allocateCheckedHeader	withdrawal_claim_circuit.rs:316-330	range	ok	every H1 header scalar limb carries range_check(limb, 32)
allocateRawRootAndMemberIndex	withdrawal_claim_circuit.rs:325-333	range	ok	the 4 slot-root elements carry no range check (PoseidonHashOutTarget::new)
allocateRawRootAndMemberIndex	merkle_tree.rs:227	range	ok	member_index's only bound is split_le(index, BALANCE_SLOT_TREE_HEIGHT) in the inclusion verify
allocateTenCheckedCiphertextsAndCounters	withdrawal_claim_circuit.rs:337-340	range	ok	80 ciphertext-digest limbs + 10 counters, all 32-bit range-checked
observeInputs	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
observeHeaderSelectors	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
observeDigests	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
observeInclusion	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
observeDecryption	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
observeNullifier	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
observeBeforePadding	withdrawal_claim_circuit.rs:341/436/462/494/510/539/548	no-gate	trivial	builder.num_gates() profiling read; Lean holds = True
recomputeH1	withdrawal_claim_circuit.rs:344-355	gadget	not-static	the Poseidon IMB2 header relation is Environment.poseidonWords
connectH1	withdrawal_claim_circuit.rs:356	connect	ok	recomputed_h1.connect(final_balance_state_h1)
activeSumAnd11Bits	withdrawal_claim_circuit.rs:377-379	range	ok	range_check(active, 11)
activeSumAnd11Bits	withdrawal_claim_circuit.rs:378	arith	not-static	active = add(member_count, delegate_count) is an arithmetic gate output
compareActive1025	withdrawal_claim_circuit.rs:380-382	constant	ok	assert_one(less_than_u32(active, MAX_CHANNEL_MEMBERS + 1))
compareMemberActive	withdrawal_claim_circuit.rs:384-385	constant	ok	connect(less_than_u32(member_index, active), one)
compareActive1025	withdrawal_claim_circuit.rs:701-721	arith	not-static	the 33-bit borrow decomposition inside less_than_u32 is arithmetic
compareMemberActive	withdrawal_claim_circuit.rs:701-721	arith	not-static	the 33-bit borrow decomposition inside less_than_u32 is arithmetic
tenEqualityFlagsAndSumOne	withdrawal_claim_circuit.rs:396-404	constant	ok	10 is_equal flags whose sum is connected to one
